#NSGA2
popsize 50
maxGen 100
numVar 2
numObj 2
numCons 2
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 100
currentGen	1
evaluateCount	50
totalTime	8.23731
firstFrontCount	5
frontCount	32
avgEvalTime	3.52214e-05
#end
Var1	Var2	Obj1	Obj2	Cons1	Cons2	
0.5	4	0.5	10	-2.5	0.5	
0.22	2	0.22	13.6364	2.02	1.02	
0.675055	4	0.675055	7.40681	-4.07549	-1.07549	
0.926003	5	0.926003	6.47946	-7.33403	-2.33403	
0.25735	1	0.25735	7.77152	2.68385	-0.316148	
0.130176	1	0.130176	15.3639	3.82842	0.82842	
0.768166	0	0.768166	1.3018	-0.913492	-5.91349	
0.413531	3	0.413531	9.67278	-0.721783	0.278217	
0.538699	0	0.538699	1.85632	1.15171	-3.84829	
0.191441	4	0.191441	26.1177	0.277032	3.27703	
0.187172	3	0.187172	21.3707	1.31545	2.31545	
0.252096	4	0.252096	19.8337	-0.26886	2.73114	
0.2875	3	0.2875	13.913	0.412496	1.4125	
0.457737	2	0.457737	6.55398	-0.119637	-1.11964	
0.587901	3	0.587901	6.80386	-2.29111	-1.29111	
0.275167	2	0.275167	10.9025	1.5235	0.523501	
0.287269	1	0.287269	6.96213	2.41458	-0.585417	
0.819744	5	0.819744	7.31936	-6.3777	-1.3777	
0.76868	3	0.76868	5.20373	-3.91812	-2.91812	
0.613206	2	0.613206	4.89232	-1.51885	-2.51885	
0.851813	4	0.851813	5.86983	-5.66632	-2.66632	
0.695241	3	0.695241	5.7534	-3.25717	-2.25717	
0.102534	4	0.102534	48.7645	1.0772	4.0772	
0.161658	2	0.161658	18.5577	2.54508	1.54508	
0.632805	4	0.632805	7.90133	-3.69524	-0.695243	
0.652163	3	0.652163	6.13344	-2.86947	-1.86947	
0.582315	4	0.582315	8.58641	-3.24084	-0.240839	
0.218032	3	0.218032	18.346	1.03771	2.03771	
0.486415	1	0.486415	4.11171	0.622261	-2.37774	
0.362161	4	0.362161	13.806	-1.25945	1.74055	
0.191877	4	0.191877	26.0583	0.273106	3.27311	
0.516189	4	0.516189	9.68637	-2.6457	0.354296	
0.991293	5	0.991293	6.0527	-7.92163	-2.92163	
0.54847	5	0.54847	10.9395	-3.93623	1.06377	
0.891723	3	0.891723	4.4857	-5.0255	-4.0255	
0.576861	0	0.576861	1.73352	0.808251	-4.19175	
0.686321	1	0.686321	2.91409	-1.17689	-4.17689	
0.94942	5	0.94942	6.31965	-7.54478	-2.54478	
0.916055	2	0.916055	3.27491	-4.2445	-5.2445	
0.407848	4	0.407848	12.2595	-1.67063	1.32937	
0.174838	1	0.174838	11.4391	3.42645	0.426454	
0.659568	1	0.659568	3.03229	-0.936109	-3.93611	
0.9866	1	0.9866	2.02716	-3.8794	-6.8794	
0.617145	3	0.617145	6.48146	-2.5543	-1.5543	
0.536135	4	0.536135	9.32602	-2.82521	0.174788	
0.447859	0	0.447859	2.23284	1.96927	-3.03073	
0.268037	2	0.268037	11.1925	1.58767	0.587666	
