#NSGA2
popsize 50
maxGen 500
numVar 30
numObj 2
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 500
currentGen	1
evaluateCount	50
totalTime	0.312263
firstFrontCount	11
frontCount	8
avgEvalTime	0.000201932
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Var14	Var15	Var16	Var17	Var18	Var19	Var20	Var21	Var22	Var23	Var24	Var25	Var26	Var27	Var28	Var29	Var30	Obj1	Obj2	
0.159054	0.371011	0.900475	0.496635	0.0148514	0.422453	0.819412	0.106255	0.109969	0.114735	0.981197	0.90198	0.904201	0.789845	0.831323	0.0855349	0.399786	0.916932	0.482371	0.27075	0.513179	0.178463	0.415244	0.683604	0.226892	0.274572	0.0289916	0.560132	0.561051	0.990761	0.159054	4.52285	
0.748373	0.320268	0.56626	0.297245	0.482552	0.996305	0.207092	0.602087	0.37778	0.149077	0.403705	0.752228	0.786427	0.0134808	0.690386	0.019213	0.932607	0.0287002	0.966771	0.090883	0.272397	0.639471	0.00873338	0.883788	0.717247	0.0501755	0.424924	0.341697	0.365861	0.508323	0.748373	3.06731	
0.745913	0.88567	0.69029	0.77971	0.387486	0.272077	0.640725	0.619979	0.86369	0.778455	0.489433	0.57288	0.858916	0.506254	0.864022	0.529145	0.487357	0.692457	0.915734	0.566721	0.857577	0.695729	0.269592	0.314402	0.452503	0.365782	0.0705823	0.0697934	0.844621	0.166742	0.745913	3.98612	
0.915848	0.284361	0.864134	0.482345	0.846767	0.756614	0.545191	0.873227	0.701454	0.452794	0.770634	0.259311	0.149108	0.873457	0.842451	0.847012	0.96827	0.754079	0.544766	0.45017	0.41066	0.739343	0.629192	0.261909	0.0917279	0.182529	0.788333	0.564546	0.570954	0.0267928	0.915848	3.76111	
0.943481	0.881728	0.639045	0.154176	0.939964	0.631654	0.992991	0.361512	0.17473	0.711526	0.56802	0.161035	0.0400961	0.646158	0.957224	0.213861	0.246579	0.422372	0.565446	0.904539	0.88158	0.292117	0.870941	0.482419	0.493181	0.329214	0.906814	0.70934	0.341585	0.603773	0.943481	3.62385	
0.627313	0.144234	0.0373522	0.516741	0.216397	0.203763	0.917189	0.698578	0.536313	0.375004	0.301143	0.774616	0.269	0.641987	0.858562	0.0769504	0.331034	0.394539	0.307528	0.163876	0.356878	0.0766626	0.753503	0.932991	0.784306	0.863959	0.507812	0.552522	0.431023	0.362939	0.627313	3.35648	
0.96231	0.796474	0.239179	0.28103	0.452525	0.111212	0.417596	0.408159	0.548899	0.248268	0.360223	0.910084	0.432964	0.689594	0.909882	0.575785	0.0702973	0.704801	0.163162	0.270402	0.114389	0.404515	0.618545	0.751304	0.885668	0.213559	0.415751	0.491043	0.174176	0.915494	0.96231	2.97318	
0.852317	0.0322178	0.00995259	0.122843	0.296227	0.0271701	0.738748	0.73624	0.835773	0.907698	0.596903	0.744099	0.525068	0.586318	0.428591	0.75555	0.103732	0.657905	0.407099	0.156721	0.624289	0.0522032	0.4325	0.415056	0.838853	0.977592	0.69975	0.701866	0.124061	0.763443	0.852317	3.28468	
0.197266	0.994166	0.90201	0.394818	0.318379	0.754875	0.562015	0.157888	0.68599	0.0477367	0.101586	0.616588	0.459743	0.681858	0.999152	0.0642773	0.195011	0.823467	0.390837	0.811448	0.711374	0.613361	0.387323	0.958556	0.390302	0.538059	0.814999	0.513984	0.42527	0.112834	0.197266	4.71944	
0.225078	0.315939	0.798742	0.560655	0.245541	0.104273	0.410797	0.256367	0.125373	0.951493	0.98391	0.467975	0.0503127	0.0481084	0.192668	0.952773	0.460408	0.832208	0.575206	0.189628	0.259025	0.249544	0.158319	0.284819	0.22863	0.895012	0.0692557	0.326235	0.100207	0.7106	0.225078	3.63881	
0.955205	0.657084	0.204147	0.666439	0.603425	0.198109	0.803854	0.889424	0.592017	0.419661	0.0269974	0.45983	0.445462	0.896714	0.798137	0.22716	0.550706	0.56798	0.298729	0.600496	0.306289	0.15775	0.441479	0.352758	0.845676	0.513975	0.117041	0.260965	0.676454	0.710459	0.955205	3.15618	
0.305531	0.931419	0.325237	0.507487	0.927912	0.905133	0.738668	0.811007	0.713218	0.0552603	0.00274894	0.629129	0.286205	0.468142	0.449165	0.409583	0.0445302	0.144057	0.383298	0.079101	0.49009	0.12176	0.258439	0.744743	0.587442	0.542635	0.818258	0.541611	0.22875	0.790439	0.305531	4.0493	
0.793724	0.266336	0.540873	0.886678	0.835591	0.193865	0.804889	0.857064	0.879864	0.800941	0.603474	0.77003	0.943027	0.286793	0.727124	0.0861655	0.824096	0.796829	0.59018	0.191414	0.995165	0.811235	0.403866	0.818533	0.89767	0.230223	0.521152	0.142119	0.331956	0.103259	0.793724	4.07982	
0.352226	0.246817	0.860648	0.524417	0.659479	0.00304926	0.222911	0.378186	0.134259	0.946944	0.00627193	0.40702	0.180836	0.436074	0.792057	0.99423	0.3754	0.034022	0.822857	0.10936	0.354708	0.757017	0.946073	0.585983	0.798046	0.700372	0.867122	0.674259	0.194482	0.249092	0.352226	4.04366	
0.692714	0.374111	0.360545	0.558642	0.387278	0.732435	0.460044	0.944134	0.320788	0.835541	0.814764	0.214708	0.870571	0.0455194	0.31157	0.178126	0.474523	0.441515	0.479387	0.160765	0.964067	0.592743	0.823802	0.328133	0.0483267	0.621466	0.123011	0.37566	0.794108	0.878525	0.692714	3.55188	
0.989558	0.575813	0.633508	0.472426	0.0891178	0.575796	0.763404	0.925047	0.989835	0.878691	0.74824	0.526996	0.272303	0.418598	0.654117	0.91691	0.752974	0.267511	0.91936	0.985859	0.53559	0.836789	0.992207	0.448352	0.529854	0.399806	0.561695	0.44384	0.367064	0.489542	0.989558	4.02609	
