#NSGA2
popsize 50
maxGen 100
numVar 2
numObj 2
numCons 2
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 100
currentGen	1
evaluateCount	50
totalTime	5.29766
firstFrontCount	5
frontCount	28
avgEvalTime	1.2783e-05
#end
Var1	Var2	Obj1	Obj2	Cons1	Cons2	
0.5	4	0.5	10	-2.5	0.5	
0.22	2	0.22	13.6364	2.02	1.02	
0.861777	3	0.861777	4.64157	-4.756	-3.756	
0.711276	0	0.711276	1.40592	-0.401482	-5.40148	
0.922947	2	0.922947	3.25046	-4.30652	-5.30652	
0.857864	3	0.857864	4.66275	-4.72077	-3.72077	
0.325489	3	0.325489	12.2892	0.070597	1.0706	
0.905427	4	0.905427	5.52226	-6.14884	-3.14884	
0.240874	4	0.240874	20.7577	-0.167868	2.83213	
0.803924	5	0.803924	7.46339	-6.23532	-1.23532	
0.28542	1	0.28542	7.00723	2.43122	-0.568777	
0.912428	3	0.912428	4.38391	-5.21185	-4.21185	
0.414248	4	0.414248	12.0701	-1.72823	1.27177	
0.320652	1	0.320652	6.2373	2.11414	-0.885864	
0.478979	2	0.478979	6.26332	-0.310812	-1.31081	
0.311023	2	0.311023	9.64559	1.20079	0.200792	
0.782759	0	0.782759	1.27753	-1.04483	-6.04483	
0.799451	3	0.799451	5.00343	-4.19506	-3.19506	
0.102619	1	0.102619	19.4896	4.07643	1.07643	
0.582696	4	0.582696	8.58081	-3.24426	-0.244261	
0.968431	4	0.968431	5.16299	-6.71588	-3.71588	
0.434238	0	0.434238	2.30288	2.09186	-2.90814	
0.976555	4	0.976555	5.12004	-6.78899	-3.78899	
0.748711	3	0.748711	5.34252	-3.7384	-2.7384	
0.888354	2	0.888354	3.37703	-3.99519	-4.99519	
0.102872	4	0.102872	48.604	1.07415	4.07415	
0.960037	3	0.960037	4.16651	-5.64033	-4.64033	
0.184907	3	0.184907	21.6326	1.33584	2.33584	
0.695779	3	0.695779	5.74895	-3.26201	-2.26201	
0.447286	4	0.447286	11.1785	-2.02557	0.974427	
0.806619	4	0.806619	6.19871	-5.25957	-2.25957	
0.27452	3	0.27452	14.5709	0.529321	1.52932	
0.714119	0	0.714119	1.40033	-0.427069	-5.42707	
0.228246	1	0.228246	8.76246	2.94578	-0.0542176	
0.641538	5	0.641538	9.35253	-4.77384	0.226159	
0.375112	1	0.375112	5.33174	1.62399	-1.37601	
0.168589	0	0.168589	5.93159	4.4827	-0.517299	
0.891678	4	0.891678	5.6074	-6.02511	-3.02511	
0.423583	1	0.423583	4.72162	1.18775	-1.81225	
0.596728	2	0.596728	5.02742	-1.37055	-2.37055	
0.629378	3	0.629378	6.35548	-2.6644	-1.6644	
0.728357	1	0.728357	2.74591	-1.55521	-4.55521	
0.592767	4	0.592767	8.43502	-3.3349	-0.334901	
0.586082	5	0.586082	10.2375	-4.27473	0.725265	
0.545429	5	0.545429	11.0005	-3.90886	1.09114	
0.229531	1	0.229531	8.71343	2.93422	-0.0657757	
0.550841	5	0.550841	10.8924	-3.95757	1.04243	
